topic_idx,mean_delta,ci_5,ci_95,p_tau_gt_c,OR_tau,OR_c,OR_tau_ci_5,OR_tau_ci_95,OR_c_ci_5,OR_c_ci_95,topic,tau_strong,c_strong,conviction_clear,persuasion_clear,clear_direction,class
0,-0.532588800505,-0.610354498,-0.4555498785,0.0,7.184339442129124,4.288289308567103,5.518979118506448,9.112704413486357,3.8500107388965,4.759060533653983,abortion,True,True,False,True,True,persuasiveness-driven
1,-0.73628765266475,-0.9753085340000001,-0.5042443025,0.0,14.165048982961842,7.104208945878101,4.807125052699472,31.444133341831908,5.178080154923938,9.507279705200492,affirmative action,True,True,False,True,True,persuasiveness-driven
2,-0.897227481576125,-0.9943373189000001,-0.801647965,0.0,2.015638842437149,5.332648335663383,1.3989389963304568,2.7952570653448703,4.7200649102445835,6.027301818793446,animal rights,True,True,False,True,True,persuasiveness-driven
3,-1.0041263786771504,-1.141823757415,-0.8701602455,0.0,1.5412670124589958,5.8155140739015225,0.8223504293222827,2.5414950167941526,4.9321102806796375,6.806987055704776,barack obama,False,True,False,True,True,persuasiveness-only
4,-0.7427058721109409,-0.9770677259000001,-0.5206094760000002,0.0,3.1649483921606834,4.6849201848189095,1.3214973601877305,5.976598521551947,3.408032295118039,6.270251206483834,border fence,True,True,False,True,True,persuasiveness-driven
5,-0.8928045722564999,-1.0504460255,-0.7412295555000002,0.0,5.8734480036100125,7.2198303812855045,3.153700493257381,9.763351152660857,5.928865403622699,8.76003496996865,capitalism,True,True,False,True,True,persuasiveness-driven
6,-1.4067458593426878,-1.672681958,-1.1474156205000001,0.0,1.0077478657444237,9.721321737200634,0.32530348708836615,2.238100353650159,7.081991954023311,13.129177948958146,civil unions,False,True,False,True,True,persuasiveness-only
7,-0.6565971933008,-0.76917544865,-0.5442941385,0.0,1.9681216143563347,3.571783504772551,1.3300835407973273,2.7609861712902073,3.06735489727502,4.142122890823166,death penalty,True,True,False,True,True,persuasiveness-driven
8,-0.2141584163675,-0.34681217099999995,-0.08209784150000002,0.0025,26.50447778081873,3.725003354349175,15.502668904737172,41.14157322875517,3.118695643017017,4.3883405967186,drug legalization,True,True,False,True,True,persuasiveness-driven
9,-1.0647101918719373,-1.311210815,-0.8260615992500001,0.0,0.7766816354607607,5.103220416842341,0.24394717003692198,1.7305257561295069,3.8704803416705524,6.680202634102767,electoral college,False,True,False,True,True,persuasiveness-only
10,-0.7648684094696501,-0.9538860410000001,-0.5853781470000001,0.0,3.567092988717882,5.034959362043357,1.7117970399590499,6.383393205915672,3.966100804016059,6.270175782565755,environmental protection,True,True,False,True,True,persuasiveness-driven
